YEAR,MONTH,RAINFALL,TMAX,TMIN,TMEAN,RH
2020,1,317.1,29.3,23.1,26.2,82
2020,2,228.6,28.6,22.5,25.6,80
2020,3,48.6,30.7,23.3,27,81
2020,4,78.1,31.9,24.4,28.1,80
2020,5,329,33.3,25.2,29.2,81
2020,6,160.7,32.8,24.6,28.7,82
2020,7,205,32.2,24.3,28.3,85
2020,8,138,32.2,24.3,28.3,84
2020,9,147.1,32.5,24.4,28.5,84
2020,10,1007.1,30.8,24,27.4,88
2020,11,865.4,30,24,27,86
2020,12,718.9,29.6,24,26.8,88
2021,1,414.1,28.2,23.2,25.7,87
2021,2,265,28.8,22.9,25.8,92
2021,3,461.5,30.5,23.5,27,84
2021,4,90.9,31.1,24.1,27.6,84
2021,5,146,32.4,25.1,28.8,82
2021,6,109.9,33,24.6,28.8,80
2021,7,386.8,32.1,24.9,28.5,84
2021,8,142.6,32.4,24.8,28.6,83
2021,9,523.2,31.4,24.7,28,87
2021,10,366.7,31.2,24.7,27.9,86
2021,11,439.5,30.7,24.8,27.7,87
2021,12,447.9,28.7,23.9,26.3,82
2022,1,194.9,29.3,23.3,26.3,83
2022,2,252,29.1,23.8,26.5,84
2022,3,102.6,30.7,24.8,27.7,83
2022,4,395.3,30.8,24.8,27.8,86
2022,5,136.5,32.6,24.8,28.7,83
2022,6,151.9,32.8,24.9,28.8,83
2022,7,230,32.2,25,28.6,87
2022,8,462.5,31.6,24.6,28.1,88
2022,9,309.1,32,24.5,28.3,88
2022,10,599.6,31.3,24.6,28,88
2022,11,355.6,31,24.6,27.8,88
2022,12,676.6,28.8,24.1,26.4,87
2023,1,672,27.7,23.5,25.6,89
2023,2,257,28.8,23.3,26.1,86
2023,3,107.9,30.2,24,27.1,81
2023,4,136.5,31.6,25,28.3,82
2023,5,139.7,32.8,25.4,29.1,82
2023,6,132.3,33.1,25.4,29.2,83
2023,7,307.3,32.3,25.1,28.7,85
2023,8,22.7,33.9,25.7,29.8,79
2023,9,233.3,33.3,25.1,29.2,83
2023,10,454.5,31.4,24.9,28.2,87
2023,11,811.8,30.5,24.8,27.7,87
2023,12,648.8,30.2,24.6,27.4,88
2024,1,182.7,29.1,24,26.6,86
2024,2,74.3,30,24,27,83
2024,3,52,30.7,23.9,27.3,83
2024,4,9.2,33.5,24.7,29.1,78
2024,5,272.7,33.8,26.4,30.2,79
2024,6,176.1,33.5,25.8,29.7,84
2024,7,424.1,31.7,25.1,28.5,87
2024,8,93.4,33.4,25.7,29.5,83
2024,9,325.5,32.5,25.9,29.2,84
2024,10,536.2,31.6,25.4,28.5,85
2024,11,542,31.3,24.9,28.1,86
2024,12,1220.3,29,24.3,26.7,90
