YEAR,MONTH,RAINFALL,TMAX,TMIN,TMEAN,RH
2020,1,-999,-999,-999,-999,-999
2020,2,28.2,30.3,22.3,26.3,78
2020,3,4.4,33.5,23.1,28.3,77
2020,4,3,34.4,24.4,29.4,74
2020,5,114,35.3,25.1,30.2,79
2020,6,124.6,34,24.7,29.4,83
2020,7,255,33.3,24.2,28.8,86
2020,8,173.9,32.5,24.1,28.3,86
2020,9,101.7,33.1,24.3,28.7,86
2020,10,481.3,31.5,24.1,27.8,87
2020,11,424,31.1,23.7,27.4,84
2020,12,149.9,30.6,24.1,27.3,85
2021,1,51.6,29.5,23.4,26.4,82
2021,2,35.1,30.5,22.6,26.6,81
2021,3,43.2,32.5,23.7,28.1,80
2021,4,11.4,33.4,23,28.2,77
2021,5,56.6,35,25.1,30.1,76
2021,6,174.6,33.1,24.3,28.7,84
2021,7,632,31.5,24.9,28.2,85
2021,8,168.4,31.9,24.5,28.2,84
2021,9,295.7,31.9,23.9,27.9,85
2021,10,161,31.4,24.5,28,83
2021,11,51.3,31.8,24.3,28.1,80
2021,12,91.4,29.7,23.2,26.4,78
2022,1,15.8,30.1,22.5,26.3,78
2022,2,35.4,30.4,23.5,27,78
2022,3,40.8,33.3,24,28.7,75
2022,4,117.6,32.1,24.1,28.1,78
2022,5,284,33.6,24,28.8,79
2022,6,253.5,32.9,24.1,28.5,83
2022,7,199.7,32.4,24.4,28.4,84
2022,8,275.5,31.6,23.9,27.8,86
2022,9,325,31.5,24.1,27.8,85
2022,10,475.7,31.6,24.3,28,84
2022,11,79,31.6,24.4,28,82
2022,12,116.5,29.8,23.5,26.7,82
2023,1,203.3,28.6,23.2,25.9,80
2023,2,22.7,30.2,23.1,26.7,77
2023,3,0.8,31.8,22.5,27.1,70
2023,4,101.4,33.3,23.7,28.5,75
2023,5,89.8,33.8,25.1,29.5,78
2023,6,252.9,32.8,24.6,28.7,82
2023,7,394.1,32.3,24.7,28.5,82
2023,8,143.7,32.2,25.5,28.8,81
2023,9,163.4,32.5,24.6,28.5,84
2023,10,89.9,31.5,24.5,28,82
2023,11,166.6,31.2,24.5,27.8,81
2023,12,127.9,31,24,27.5,81
2024,1,14.2,30,23.3,26.7,75
2024,2,11.8,31.5,22.8,27.2,70
2024,3,6,32.9,23.3,28.1,70
2024,4,0,35.9,24.5,30.2,65
2024,5,134.7,35.6,26.3,31,69
2024,6,258.3,33.5,25.2,29.4,82
2024,7,488.8,32,24.8,28.4,83
2024,8,183.8,33.1,25,29,82
2024,9,178.2,31.8,25.2,28.5,83
2024,10,670,32.2,24.5,28.4,82
2024,11,39.4,32.3,24.3,28.3,79
2024,12,205.3,29.5,24.1,26.8,84
