YEAR,MONTH,RAINFALL,TMAX,TMIN,TMEAN,RH
2020,1,254,28.8,23.2,26,89
2020,2,284.6,28.2,22.5,25.3,88
2020,3,62.8,30.5,23.4,27,86
2020,4,130.6,31,24,27.5,87
2020,5,385.1,33.1,25.4,29.3,86
2020,6,275.3,32.7,24.9,28.8,87
2020,7,314.9,32.4,24.3,28.3,87
2020,8,250.3,32.4,24.3,28.4,86
2020,9,206.5,32.4,24.6,28.5,87
2020,10,766.6,30.8,23.7,27.2,89
2020,11,753.4,30.1,23.7,26.9,90
2020,12,784.8,29.3,23.5,26.4,92
2021,1,427.8,27.9,23,25.5,91
2021,2,327.9,28.2,22.5,25.3,90
2021,3,199.9,30.1,23.8,26.9,89
2021,4,66,31.3,23.8,27.6,84
2021,5,128.7,32.4,25.8,29.1,84
2021,6,133,33.9,25.3,29.6,78
2021,7,265.6,32.1,25.6,28.9,81
2021,8,201.6,32.4,24.9,28.6,82
2021,9,462.6,31.5,23.9,27.7,88
2021,10,437.1,30.8,23.9,27.4,87
2021,11,543.1,30.3,24.2,27.2,88
2021,12,347.6,28.8,23,25.9,85
2022,1,191.2,28.9,22.5,25.7,85
2022,2,233.5,29,23.3,26.2,88
2022,3,161.3,30.6,24.2,27.4,88
2022,4,403.8,30.6,24.5,27.5,87
2022,5,130.1,32.7,24.4,28.6,84
2022,6,357.6,32.5,24.2,28.4,85
2022,7,210.3,32.6,24.8,28.7,86
2022,8,312.6,31.9,23.8,27.9,87
2022,9,253.4,32.6,24.4,28.6,82
2022,10,870.7,31,24.4,27.8,88
2022,11,385.9,30.7,24.5,27.6,90
2022,12,601.2,28.5,23.5,26,90
2023,1,707.3,27.5,23.1,25.3,89
2023,2,259.6,28.6,23.3,26,88
2023,3,60,29.6,23.1,26.3,84
2023,4,77.5,31.5,24.9,28.2,83
2023,5,137,33.1,25.5,29.3,82
2023,6,359.6,33.2,25.1,29.1,83
2023,7,153.4,32.8,25.4,29.1,84
2023,8,49.5,34.5,26.4,30.5,76
2023,9,105.9,32.6,24.9,28.7,84
2023,10,287,31.7,25.1,28.4,84
2023,11,527.4,30.1,25,27.5,87
2023,12,699.5,29.4,24.4,26.9,90
2024,1,302.6,28.2,23.2,25.8,87
2024,2,76.2,29.8,23.9,26.8,85
2024,3,202.5,30.2,23.6,26.9,85
2024,4,15.8,33,25.3,29.2,80
2024,5,459.1,33,25.8,29.4,81
2024,6,327.3,33.2,25.7,29.5,84
2024,7,430.2,31.4,25.3,28.4,87
2024,8,90.6,33.9,26,29.9,79
2024,9,341.8,32.7,25.5,29.1,83
2024,10,314.4,31.6,24.9,28.3,84
2024,11,152.9,31.4,25.2,28.3,84
2024,12,975.5,28.5,24,26.3,89
