YEAR,MONTH,RAINFALL,TMAX,TMIN,TMEAN,RH
2020,1,4.2,31,24.9,28,78
2020,2,31.6,31.1,24.1,27.6,77
2020,3,2,33.3,26.2,29.7,74
2020,4,0,35,27.4,31.2,71
2020,5,190.2,34.9,27.8,31.4,75
2020,6,269.5,34.1,27.5,30.8,75
2020,7,230.4,33.8,26.6,30.2,76
2020,8,214.2,32.2,26.3,29.2,80
2020,9,130.9,33.7,26.9,30.3,77
2020,10,375.7,31.8,26.1,28.9,81
2020,11,203.6,31.6,25.6,28.6,79
2020,12,123.9,31,25.6,28.3,80
2021,1,84.6,30.3,24.6,27.5,77
2021,2,25.9,31.3,24.7,28,75
2021,3,14.3,33.5,26.2,29.9,73
2021,4,4.4,33.9,26.7,30.3,73
2021,5,0.2,35.6,28.2,31.9,70
2021,6,121.5,32.8,26.8,29.8,77
2021,7,682.6,31.6,26.3,28.9,80
2021,8,136.4,32.6,26.7,29.7,78
2021,9,236,32.2,26.5,29.4,79
2021,10,121.8,32,26.3,29.1,78
2021,11,17.4,33,26.7,29.8,75
2021,12,59.3,31.2,25.1,28.1,73
2022,1,15.8,30.8,24.7,27.8,74
2022,2,17.8,31.7,25.5,28.6,74
2022,3,33.8,33.7,26.8,30.2,71
2022,4,41.4,33.2,26.7,30,72
2022,5,232.2,34.1,27.1,30.6,75
2022,6,74,33.8,27.2,30.5,75
2022,7,202.8,33,26.8,29.9,79
2022,8,401.8,31.6,25.9,28.8,81
2022,9,400.4,31.3,25.9,28.6,82
2022,10,367.8,32.6,26.9,29.8,77
2022,11,103,31.7,26,28.9,78
2022,12,64.4,30.8,25.7,28.3,76
2023,1,72.6,29.7,24.6,27.2,77
2023,2,12.4,31,24.9,27.9,73
2023,3,0.4,32.3,25.1,28.7,68
2023,4,68.7,33.5,26.7,30.1,69
2023,5,134.6,34.4,27.7,31,72
2023,6,200.4,33.2,26.7,30,78
2023,7,476,32.9,26.7,29.8,79
2023,8,289.2,32,27.5,29.7,80
2023,9,315.3,32.3,26.8,29.6,81
2023,10,201.3,31.8,26.6,29.2,78
2023,11,16.3,32.4,26.7,29.6,71
2023,12,47.2,31.5,26,28.8,75
2024,1,1,30.8,25,27.9,70
2024,2,2.6,32.2,25.2,28.7,67
2024,3,8.7,32.8,26.1,29.4,68
2024,4,0,35.5,28,31.8,64
2024,5,113.4,35.6,28.3,32,67
2024,6,248.4,34.2,27.7,31,76
2024,7,515.8,32.3,26.7,29.5,79
2024,8,260.9,32.9,27,30,79
2024,9,359,31.5,26.6,29.1,82
2024,10,302.7,32,26.7,29.4,78
2024,11,81.9,32.4,26.5,29.5,74
2024,12,126,30.5,25.8,28.2,80
