YEAR,MONTH,RAINFALL,TMAX,TMIN,TMEAN,RH
2020,1,61.1,24.5,19.7,22.1,86
2020,2,63.2,23.5,18.7,21.1,84
2020,3,5.1,26.8,20.3,23.6,80
2020,4,21.6,28,21.3,24.6,81
2020,5,203.9,29.3,22.7,26,83
2020,6,158.5,28.4,22.2,25.3,85
2020,7,157.1,28.4,22.1,25.2,86
2020,8,238.4,27,21.6,24.3,90
2020,9,247.7,28,21.9,25,87
2020,10,567.4,26,21.3,23.6,92
2020,11,581.3,25.2,20.6,22.9,89
2020,12,400.9,25,20.7,22.9,89
2021,1,271.4,23.6,19.4,21.5,88
2021,2,59.5,24.2,19.4,21.8,86
2021,3,21.9,26.3,20.5,23.4,84
2021,4,55,27.4,20.6,24,82
2021,5,20.1,29.1,22.2,25.6,81
2021,6,262.9,27.9,22,24.9,89
2021,7,686,25.9,21.5,23.7,93
2021,8,163,26.4,21.8,24.1,91
2021,9,423.8,26.5,21.5,24,92
2021,10,208,25.6,21.2,23.4,90
2021,11,113.2,25.8,21.2,23.5,90
2021,12,167.5,23.5,19.6,21.6,88
2022,1,38.2,23.9,19.1,21.5,87
2022,2,59.4,24.3,19.6,22,88
2022,3,62,27.1,20.6,23.9,85
2022,4,214.3,26.5,21,23.8,86
2022,5,273.6,28,21.8,24.9,85
2022,6,140.9,28.3,22,25.2,85
2022,7,435.1,27.5,21.8,24.7,89
2022,8,494.8,26.6,21.3,24,90
2022,9,564.4,26,21.2,23.6,93
2022,10,651.3,26.3,21.4,23.9,91
2022,11,203.3,25.9,21.2,23.5,90
2022,12,152.6,24.1,20,22.1,90
2023,1,234.1,23,19.3,21.1,90
2023,2,50.1,24.6,19.4,22,87
2023,3,3.3,25.8,19.2,22.5,82
2023,4,53.1,27.5,21,24.3,83
2023,5,211.1,28.4,22.1,25.2,87
2023,6,257.6,27.8,22,24.9,88
2023,7,735.4,26.8,21.5,24.2,90
2023,8,388.4,26.3,21.6,23.9,94
2023,9,352.6,27.4,21.6,24.5,91
2023,10,164.5,26.2,21,23.6,91
2023,11,155.5,25.8,20.7,23.2,89
2023,12,174.7,25,20.4,22.7,90
2024,1,35.4,24,19,21.6,86
2024,2,19.1,25.6,19.1,22.4,83
2024,3,10.7,26.6,19.9,23.2,83
2024,4,4,29.7,21.4,25.6,75
2024,5,228.9,30,22.3,26.2,79
2024,6,206,29.2,22.4,25.8,87
2024,7,646.3,26.9,21.5,24.2,91
2024,8,376.3,28.1,21.8,25,90
2024,9,634.7,26.9,21.4,24.2,92
2024,10,738.6,26.5,21.2,23.8,92
2024,11,189.1,26.8,20.9,23.9,89
2024,12,419.4,24.1,20.2,22.2,93
