YEAR,MONTH,RAINFALL,TMAX,TMIN,TMEAN,RH
2020,1,158.4,28.8,22.4,25.6,84
2020,2,188.9,28,21.2,24.6,85
2020,3,27.5,31.1,23.2,27.1,81
2020,4,107.5,31.9,23.7,27.8,80
2020,5,178.5,32.8,24.7,28.7,81
2020,6,331,32.4,24.2,28.3,82
2020,7,223.7,32.1,24,28.1,84
2020,8,263.9,31.6,23.2,27.4,85
2020,9,280.1,32.1,23.5,27.8,85
2020,10,1228.4,30.4,23.3,26.9,87
2020,11,798.7,29.8,23.1,26.4,88
2020,12,709.7,29.6,23.2,26.4,88
2021,1,267,27.9,22,25,86
2021,2,128.8,28.6,21.9,25.3,86
2021,3,302.2,30.8,22.9,26.8,85
2021,4,90.2,31.1,22.6,26.9,83
2021,5,109.5,32.1,24.5,28.3,82
2021,6,181.3,31.6,23.4,27.5,83
2021,7,352,30.6,23.8,27.2,85
2021,8,199.6,30.8,23.5,27.2,82
2021,9,635.6,30.1,22.9,26.5,88
2021,10,675.2,29.3,23.1,26.2,88
2021,11,283.8,29.2,23.9,26.6,87
2021,12,345.7,27.1,22.4,24.8,87
2022,1,171.2,27.4,21.5,24.5,86
2022,2,267,27.5,22.2,24.8,87
2022,3,199.5,29.5,23.1,26.3,84
2022,4,455.5,29.5,23.1,26.3,85
2022,5,136.9,30.8,23.7,27.3,83
2022,6,223.7,30.7,23.8,27.2,83
2022,7,282.6,30.4,23.5,27,87
2022,8,316.5,29.7,23,26.4,87
2022,9,324.2,30.5,22.8,26.7,84
2022,10,712.5,29.5,23,26.3,85
2022,11,558.1,29.1,22.9,26,87
2022,12,440.3,27.1,22.1,24.6,88
2023,1,532.1,25.6,21.4,23.5,89
2023,2,133.4,27.1,22.1,24.6,85
2023,3,43.2,28.3,22.5,25.4,81
2023,4,55.5,29.9,23.7,26.8,84
2023,5,130.2,31.5,24.3,27.9,82
2023,6,245,31.4,23.9,27.6,83
2023,7,285.5,30.9,24.1,27.5,84
2023,8,122.3,31.9,23.9,27.9,81
2023,9,167.1,31,23.7,27.3,85
2023,10,362.4,29.8,23.8,26.8,85
2023,11,688,28.9,23.6,26.2,89
2023,12,518.2,28.3,23.3,25.7,89
2024,1,104,27.2,22.2,24.7,85
2024,2,28.2,28.3,22.4,25.3,85
2024,3,151.2,29.4,22.7,26.1,83
2024,4,5.5,32.1,24.1,28.1,78
2024,5,498.3,32.3,24.6,28.5,78
2024,6,214.2,32,24.6,28.3,82
2024,7,450,30.2,24,27.1,87
2024,8,189.7,31.7,24.1,27.9,83
2024,9,483.9,30.5,24.1,27.3,85
2024,10,483.7,30.3,24,27.2,83
2024,11,330.5,29.9,23.9,26.9,84
2024,12,1146.2,27.2,23.1,25.2,89
